realtime,framenum,rendertime(ms),GPUUtil(%)
0.344168,7,30.986500,56
0.375460,7,5.219600,56
0.406952,9,31.332100,56
0.437891,9,30.805200,56
0.469073,10,31.032600,56
0.500428,11,31.068600,56
0.532026,12,31.446800,56
0.563165,13,30.987000,56
0.594530,14,31.224700,56
0.625607,15,30.923100,56
0.657026,16,31.266200,56
0.687703,18,30.521700,56
0.719171,18,31.324500,51
0.750295,19,30.971000,51
0.781884,20,31.306900,51
0.813008,21,30.973800,51
0.844170,22,31.008800,51
0.875494,24,31.172200,51
0.906514,24,30.857500,54
0.938178,25,31.517100,54
0.969225,27,30.889700,54
1.000231,28,30.740500,54
1.031738,29,31.360200,54
1.062964,30,31.073400,54
1.094059,31,30.943300,54
1.125573,32,31.396900,54
1.156673,33,30.954000,54
1.188197,34,31.371800,54
1.219116,35,30.737500,54
1.250564,36,31.303900,54
1.281633,36,30.913900,54
1.313227,38,31.432700,51
1.344626,39,31.240200,51
1.375841,40,31.105100,51
1.406783,40,30.787700,51
1.438273,42,31.335000,51
1.469376,43,30.956100,51
1.500382,44,30.734900,56
1.532066,45,31.529600,56
1.563141,45,30.801100,56
1.594286,47,30.994200,56
1.625676,48,31.238200,56
1.656774,48,30.816300,56
1.687910,50,30.985000,51
1.719484,51,31.299200,51
1.750484,51,30.848600,51
1.782024,52,31.386300,51
1.812959,53,30.782200,51
1.844068,55,30.956000,51
1.875291,55,31.072700,51
1.906873,56,31.437800,54
1.937960,57,30.931300,54
1.968978,58,30.810200,54
2.000356,60,31.226400,54
2.031564,60,31.056100,54
2.062760,61,31.041600,54
2.094499,62,31.587100,54
2.125567,63,30.924500,54
2.156676,64,30.954000,54
2.188064,65,31.235300,54
2.219271,67,31.057700,54
2.250754,67,31.330500,54
2.281544,68,30.637800,54
2.312886,69,31.186200,51
2.344161,70,31.132000,51
2.375532,71,31.216300,51
2.406525,72,30.723400,51
2.438083,73,31.414400,51
2.469124,74,30.889200,51
2.500567,75,31.288200,56
2.532026,76,31.308100,56
2.563177,77,30.881400,56
2.594633,79,31.293100,56
2.625600,79,30.839500,56
2.656762,80,31.012000,56
2.687983,82,31.073200,56
2.719235,83,31.101300,51
2.750646,83,31.256400,51
2.782045,84,31.248500,51
2.813088,85,30.899300,51
2.844166,87,30.923900,51
2.875331,87,31.010500,51
2.906855,88,31.376100,54
2.938217,89,31.208800,54
2.969108,90,30.737700,54
3.000651,91,31.390000,54
3.031741,93,30.935800,54
3.062862,93,30.859600,54
3.094437,95,31.405000,54
3.125787,96,31.193800,54
3.156901,97,30.841300,54
3.187904,98,30.852000,54
3.219331,98,31.280200,54
3.250806,100,31.114700,54
3.281788,101,30.832100,54
3.312889,102,30.941900,51
3.344222,103,31.183700,51
3.375735,104,31.362300,51
3.406974,105,31.084500,51
3.437747,105,30.665700,51
3.469256,107,31.338700,51
3.500726,107,31.230900,57
3.531769,109,30.892100,57
3.563072,109,31.159000,57
3.594073,110,30.847800,57
3.625735,111,31.393600,57
3.656638,112,30.756000,57
3.688127,114,31.335400,57
3.719571,115,31.292200,52
3.750701,116,30.967700,52
3.781747,117,30.895400,52
3.813233,118,31.334400,52
3.844217,118,30.825400,52
3.875764,119,31.398900,52
3.906698,120,30.780900,53
3.938119,122,31.265000,53
3.969300,123,31.035300,53
4.000341,123,30.881900,53
4.031984,124,31.490100,53
4.063005,125,30.865200,53
4.094202,127,31.046600,53
4.125446,127,31.117800,55
4.156825,128,31.224800,55
4.187953,129,30.766000,55
4.219400,130,31.302300,55
4.250669,131,31.104800,55
4.281416,133,30.600200,55
4.313076,133,31.515700,51
4.344265,134,31.035500,51
4.375229,136,30.808100,51
4.406473,136,31.087200,51
4.437902,137,31.285900,51
4.469291,138,31.230500,51
4.500325,139,30.879700,56
4.531724,140,31.255300,56
4.562801,141,30.922500,56
4.594388,142,31.414500,56
4.625426,143,30.873300,56
4.656931,144,31.160300,56
4.687989,145,30.907100,56
4.719096,146,30.953000,52
4.750672,148,31.428300,52
4.781687,149,30.861700,52
4.813130,149,31.289300,52
4.844270,150,30.984800,52
4.875755,151,31.322300,52
4.906663,153,30.751500,53
4.938014,154,31.183100,53
4.969333,155,31.169400,53
5.000554,156,31.067600,53
5.031869,156,31.161500,53
5.062930,158,30.907300,53
5.094447,159,31.363900,53
5.125624,159,30.993900,55
5.156953,160,31.174500,55
5.187882,161,30.779600,55
5.219140,162,31.102500,55
5.250388,163,30.981800,55
5.281990,164,31.450600,55
5.312905,165,30.759800,50
5.344346,167,31.288500,50
5.375223,167,30.589600,50
5.406894,169,31.521500,50
5.437806,170,30.743200,50
5.469239,170,31.279200,50
5.500350,172,30.960600,56
5.531815,172,31.309700,56
5.563190,173,31.221500,56
5.593987,175,30.642500,56
5.654355,175,60.217100,56
5.687845,177,31.048900,56
5.719278,178,31.277500,44
5.750367,179,30.797700,44
5.781992,180,31.464300,44
5.812974,180,30.738100,44
5.843961,182,30.838100,44
5.875575,183,31.458100,44
5.906657,183,30.930200,54
5.937763,184,30.953500,54
5.969418,186,31.506600,54
6.000446,187,30.871900,54
6.031835,187,31.104700,54
6.062839,189,30.859800,54
6.094055,190,31.067300,54
6.125803,191,31.578800,55
6.156732,191,30.777300,55
6.187951,193,31.068900,55
6.219047,193,30.942300,55
6.250503,194,31.299200,55
6.281589,195,30.944100,55
6.312882,196,31.139700,50
6.344459,197,31.421100,50
6.375318,198,30.687400,50
6.406473,199,31.002700,50
6.438281,201,31.651900,50
6.469301,201,30.866300,50
6.500287,202,30.842200,50
6.531458,203,31.001400,56
6.563239,205,31.616000,56
6.594401,206,30.886800,56
6.654249,206,59.703300,56
6.687950,207,31.025400,56
6.719242,209,31.139500,44
6.750651,210,31.133400,44
6.782064,211,31.264000,44
6.813097,212,30.871400,44
6.844678,213,31.426400,44
6.875562,214,30.729800,44
6.906619,214,30.904400,54
6.938186,216,31.417100,54
6.969231,217,30.894600,54
7.000287,218,30.901500,54
7.031462,219,31.027100,54
7.062926,220,31.309300,54
7.093893,221,30.818700,54
7.125730,221,31.678000,55
7.156592,223,30.515400,55
7.188213,223,31.469300,55
7.219091,224,30.723000,55
7.250450,226,31.021000,55
7.282059,227,31.454600,55
7.312749,228,30.534200,50
7.344236,228,31.333900,50
7.375600,230,31.213800,50
7.407085,231,31.153000,50
7.437893,232,30.655700,50
7.469091,233,31.054000,50
7.500687,233,31.323900,50
7.531603,235,30.753000,56
7.563032,235,31.295900,56
7.594391,236,31.207500,56
7.625613,237,31.064300,56
7.656587,238,30.667600,56
7.688015,240,31.272400,56
7.719041,241,30.880700,52
7.750358,242,31.044600,52
7.781644,243,31.136000,52
7.812831,244,31.040400,52
7.844144,244,31.146800,52
7.875519,246,31.220800,52
7.906579,247,30.901800,53
7.937809,248,31.070300,53
7.969290,249,31.325400,53
8.000424,250,30.982500,53
8.031564,251,30.796200,53
8.063071,251,31.353800,53
8.094137,252,30.913700,53
8.125402,254,31.114000,55
8.156738,254,31.182200,55
8.188330,255,31.434500,55
8.219309,257,30.693600,55
8.250693,257,31.257400,55
8.281872,259,31.025200,55
8.312896,259,30.868700,50
8.344304,260,31.257600,50
8.375590,261,31.143100,50
8.406607,263,30.864200,50
8.438188,263,31.212400,50
8.469344,265,31.006100,50
8.500405,266,30.778700,50
8.531818,267,31.260800,57
8.563184,267,31.216500,57
8.594363,269,31.023600,57
8.625361,270,30.843100,57
8.656864,271,31.356000,57
8.687914,272,30.894400,57
8.719216,273,31.029600,52
8.750341,274,30.843400,52
8.781580,275,31.086400,52
8.812832,276,31.097900,52
8.844420,277,31.312500,52
8.875769,277,31.193700,52
8.906834,278,30.913900,52
8.937924,279,30.932200,53
8.969287,281,31.206600,53
9.000350,281,30.913800,53
9.031659,282,31.162700,53
9.063216,283,31.404800,53
9.094225,284,30.832500,53
9.125638,286,31.251100,56
9.156711,286,30.939700,56
9.188163,287,31.303300,56
9.219114,288,30.800100,56
9.250664,289,31.399900,56
9.281705,290,30.788000,56
9.313441,290,31.583400,51
